Date,Close,Google_trends
2022/12/31,16538.3479,19.93548387
2022/12/30,16603.75195,19.87096774
2022/12/29,16641.44486,19.80645161
2022/12/28,16549.98327,19.74193548
2022/12/27,16706.45971,19.67741935
2022/12/26,16908.94843,19.61290323
2022/12/25,16829.9184,19.5483871
2022/12/24,16833.8821,19.48387097
2022/12/23,16780.46368,19.41935484
2022/12/22,16822.06214,19.35483871
2022/12/21,16806.4165,19.29032258
2022/12/20,16902.54219,19.22580645
2022/12/19,16424.79671,19.16129032
2022/12/18,16750.76581,19.09677419
2022/12/17,16785.8923,19.03225806
2022/12/16,16608.4932,18.96774194
2022/12/15,17339.45827,18.90322581
2022/12/14,17799.16897,18.83870968
2022/12/13,17766.35055,18.77419355
2022/12/12,17220.81454,18.70967742
2022/12/11,17091.91654,18.64516129
2022/12/10,17114.34059,18.58064516
2022/12/9,17123.38673,18.51612903
2022/12/8,17254.8416,18.4516129
2022/12/7,16838.04747,18.38709677
2022/12/6,17088.37612,18.32258065
2022/12/5,16959.33606,18.25806452
2022/12/4,17130.16533,18.19354839
2022/12/3,16903.72363,18.12903226
2022/12/2,17088.4265,18.06451613
2022/12/1,16956.1893,18
2022/11/30,17188.63468,18.26666667
2022/11/29,16436.1924,18.53333333
2022/11/28,16212.40325,18.8
2022/11/27,16432.36462,19.06666667
2022/11/26,16461.19452,19.33333333
2022/11/25,16511.91128,19.6
2022/11/24,16597.7313,19.86666667
2022/11/23,16615.2292,20.13333333
2022/11/22,16174.9574,20.4
2022/11/21,15779.9717,20.66666667
2022/11/20,16291.4477,20.93333333
2022/11/19,16715.83859,21.2
2022/11/18,16711.14178,21.46666667
2022/11/17,16690.88953,21.73333333
2022/11/16,16673.50771,22
2022/11/15,16894.9265,22.26666667
2022/11/14,16630.63746,22.53333333
2022/11/13,16349.9976,22.8
2022/11/12,16802.1943,23.06666667
2022/11/11,17104.1984,23.33333333
2022/11/10,17590.41467,23.6
2022/11/9,15789.34242,23.86666667
2022/11/8,18528.52093,24.13333333
2022/11/7,20591.7459,24.4
2022/11/6,20913.0539,24.66666667
2022/11/5,21281.5851,24.93333333
2022/11/4,21156.078,25.2
2022/11/3,20208.59651,25.46666667
2022/11/2,20151.52308,25.73333333
2022/11/1,20481.5549,26
2022/10/31,20504.46023,25.70967742
2022/10/30,20621.7479,25.41935484
2022/10/29,20811.98837,25.12903226
2022/10/28,20608.2579,24.83870968
2022/10/27,20283.97975,24.5483871
2022/10/26,20754.02397,24.25806452
