Date,Close, NASDAQ Composite Index,EMA,Google_trends
2022/12/31,16538.3479,10446.6075,17139.776,19.93548387
2022/12/30,16603.75195,10466.48,17042.31708,19.87096774
2022/12/29,16641.44486,10478.09,16969.43122,19.80645161
2022/12/28,16549.98327,10213.29,16893.16796,19.74193548
2022/12/27,16706.45971,10353.23,16859.221,19.67741935
2022/12/26,16908.94843,10389.3875,16868.26235,19.61290323
2022/12/25,16829.9184,10425.545,16861.29073,19.5483871
2022/12/24,16833.8821,10461.7025,16856.30734,19.48387097
2022/12/23,16780.46368,10497.86,16842.51758,19.41935484
2022/12/22,16822.06214,10476.12,16838.79841,19.35483871
2022/12/21,16806.4165,10709.37,16832.91079,19.29032258
2022/12/20,16902.54219,10547.11,16845.57105,19.22580645
2022/12/19,16424.79671,10546.03,16769.06662,19.16129032
2022/12/18,16750.76581,10599.15667,16765.7392,19.09677419
2022/12/17,16785.8923,10652.28333,16769.4034,19.03225806
2022/12/16,16608.4932,10705.41,16740.147,18.96774194
2022/12/15,17339.45827,10810.53,16849.11269,18.90322581
2022/12/14,17799.16897,11170.89,17021.85019,18.83870968
2022/12/13,17766.35055,11256.81,17157.21389,18.77419355
2022/12/12,17220.81454,11143.74,17168.77765,18.70967742
2022/12/11,17091.91654,11097.36667,17154.8029,18.64516129
2022/12/10,17114.34059,11050.99333,17147.44612,18.58064516
2022/12/9,17123.38673,11004.62,17143.07168,18.51612903
2022/12/8,17254.8416,11082,17163.39348,18.4516129
2022/12/7,16838.04747,10958.55,17104.23966,18.38709677
2022/12/6,17088.37612,11014.89,17101.35538,18.32258065
2022/12/5,16959.33606,11239.94,17075.53369,18.25806452
2022/12/4,17130.16533,11313.79333,17085.46671,18.19354839
2022/12/3,16903.72363,11387.64667,17052.42252,18.12903226
2022/12/2,17088.4265,11461.5,17058.96869,18.06451613
2022/12/1,16956.1893,11482.45,17040.28153,18
2022/11/30,17188.63468,11468,17067.25483,18.26666667
2022/11/29,16436.1924,10983.78,16952.51621,18.53333333
2022/11/28,16212.40325,11049.5,16817.95021,18.8
2022/11/27,16432.36462,11108.45333,16747.84374,19.06666667
2022/11/26,16461.19452,11167.40667,16695.7257,19.33333333
2022/11/25,16511.91128,11226.36,16662.3049,19.6
2022/11/24,16597.7313,11255.84,16650.56424,19.86666667
2022/11/23,16615.2292,11285.32,16644.13969,20.13333333
2022/11/22,16174.9574,11174.41,16558.83382,20.4
2022/11/21,15779.9717,11024.51,16417.22253,20.66666667
