Date,Close, NASDAQ Composite Index,Google_trends
2022/12/31,16538.3479,10446.6075,19.93548387
2022/12/30,16603.75195,10466.48,19.87096774
2022/12/29,16641.44486,10478.09,19.80645161
2022/12/28,16549.98327,10213.29,19.74193548
2022/12/27,16706.45971,10353.23,19.67741935
2022/12/26,16908.94843,10389.3875,19.61290323
2022/12/25,16829.9184,10425.545,19.5483871
2022/12/24,16833.8821,10461.7025,19.48387097
2022/12/23,16780.46368,10497.86,19.41935484
2022/12/22,16822.06214,10476.12,19.35483871
2022/12/21,16806.4165,10709.37,19.29032258
2022/12/20,16902.54219,10547.11,19.22580645
2022/12/19,16424.79671,10546.03,19.16129032
2022/12/18,16750.76581,10599.15667,19.09677419
2022/12/17,16785.8923,10652.28333,19.03225806
2022/12/16,16608.4932,10705.41,18.96774194
2022/12/15,17339.45827,10810.53,18.90322581
2022/12/14,17799.16897,11170.89,18.83870968
2022/12/13,17766.35055,11256.81,18.77419355
2022/12/12,17220.81454,11143.74,18.70967742
2022/12/11,17091.91654,11097.36667,18.64516129
2022/12/10,17114.34059,11050.99333,18.58064516
2022/12/9,17123.38673,11004.62,18.51612903
2022/12/8,17254.8416,11082,18.4516129
2022/12/7,16838.04747,10958.55,18.38709677
2022/12/6,17088.37612,11014.89,18.32258065
2022/12/5,16959.33606,11239.94,18.25806452
2022/12/4,17130.16533,11313.79333,18.19354839
2022/12/3,16903.72363,11387.64667,18.12903226
2022/12/2,17088.4265,11461.5,18.06451613
2022/12/1,16956.1893,11482.45,18
2022/11/30,17188.63468,11468,18.26666667
2022/11/29,16436.1924,10983.78,18.53333333
2022/11/28,16212.40325,11049.5,18.8
2022/11/27,16432.36462,11108.45333,19.06666667
2022/11/26,16461.19452,11167.40667,19.33333333
2022/11/25,16511.91128,11226.36,19.6
2022/11/24,16597.7313,11255.84,19.86666667
2022/11/23,16615.2292,11285.32,20.13333333
2022/11/22,16174.9574,11174.41,20.4
2022/11/21,15779.9717,11024.51,20.66666667
2022/11/20,16291.4477,11065.02667,20.93333333
2022/11/19,16715.83859,11105.54333,21.2
2022/11/18,16711.14178,11146.06,21.46666667
2022/11/17,16690.88953,11144.96,21.73333333
2022/11/16,16673.50771,11183.66,22
2022/11/15,16894.9265,11358.41,22.26666667
2022/11/14,16630.63746,11196.22,22.53333333
2022/11/13,16349.9976,11238.59,22.8
2022/11/12,16802.1943,11280.96,23.06666667
2022/11/11,17104.1984,11323.33,23.33333333
2022/11/10,17590.41467,11114.15,23.6
2022/11/9,15789.34242,10353.17,23.86666667
2022/11/8,18528.52093,10616.2,24.13333333
2022/11/7,20591.7459,10564.52,24.4
2022/11/6,20913.0539,10534.76333,24.66666667
2022/11/5,21281.5851,10505.00667,24.93333333
2022/11/4,21156.078,10475.25,25.2
2022/11/3,20208.59651,10342.94,25.46666667
2022/11/2,20151.52308,10524.8,25.73333333
2022/11/1,20481.5549,10890.85,26
2022/10/31,20504.46023,10988.15,25.70967742
2022/10/30,20621.7479,11026.25,25.41935484
2022/10/29,20811.98837,11064.35,25.12903226
2022/10/28,20608.2579,11102.45,24.83870968
2022/10/27,20283.97975,10792.67,24.5483871
2022/10/26,20754.02397,10970.99,24.25806452
2022/10/25,20110.87556,11199.12,23.96774194
2022/10/24,19335.3937,10952.61,23.67741935
2022/10/23,19548.7249,10921.64667,23.38709677
2022/10/22,19202.85297,10890.68333,23.09677419
2022/10/21,19166.3286,10859.72,22.80645161
2022/10/20,19042.9309,10614.84,22.51612903
2022/10/19,19124.9892,10680.51,22.22580645
2022/10/18,19351.0697,10772.4,21.93548387
2022/10/17,19558.1117,10675.8,21.64516129
2022/10/16,19259.62065,10557.66333,21.35483871
2022/10/15,19054.8847,10439.52667,21.06451613
2022/10/14,19191.0274,10321.39,20.77419355
2022/10/13,19380.6893,10649.15,20.48387097
2022/10/12,19157.97735,10417.1,20.19354839
2022/10/11,19045.5416,10426.19,19.90322581
2022/10/10,19135.37402,10542.1,19.61290323
2022/10/9,19436.3351,10578.86667,19.32258065
2022/10/8,19401.0105,10615.63333,19.03225806
2022/10/7,19533.02825,10652.4,18.74193548
2022/10/6,19948.2219,11073.31,18.4516129
2022/10/5,20168.6041,11148.64,18.16129032
2022/10/4,20339.726,11176.41,17.87096774
2022/10/3,19610.3879,10815.43,17.58064516
2022/10/2,19035.34988,10735.49333,17.29032258
2022/10/1,19305.1719,10655.55667,17
2022/9/30,19449.60774,10575.62,17.13333333
2022/9/29,19593.33746,10737.51,17.26666667
2022/9/28,19399.48878,11051.64,17.4
2022/9/27,19098.47982,10829.5,17.53333333
2022/9/26,19238.7536,10802.92,17.66666667
2022/9/25,18814.0516,10824.59,17.8
2022/9/24,18931.73411,10846.26,17.93333333
2022/9/23,19245.96942,10867.93,18.06666667
2022/9/22,19429.13269,11066.8,18.2
2022/9/21,18501.82049,11220.19,18.33333333
2022/9/20,18873.2005,11425.05,18.46666667
2022/9/19,19576.6372,11535.02,18.6
2022/9/18,19393.59391,11506.14667,18.73333333
2022/9/17,20123.64055,11477.27333,18.86666667
2022/9/16,19756.26819,11448.4,19
2022/9/15,19662.3883,11552.36,19.13333333
2022/9/14,20251.71983,11719.68,19.26666667
2022/9/13,20172.39246,11633.57,19.4
2022/9/12,22387.93863,12266.41,19.53333333
2022/9/11,21789.45241,12215.04333,19.66666667
2022/9/10,21661.704,12163.67667,19.8
2022/9/9,21370.64087,12112.31,19.93333333
2022/9/8,19318.4204,11862.13,20.06666667
2022/9/7,19275.30356,11791.9,20.2
2022/9/6,18812.06104,11544.91,20.33333333
2022/9/5,19808.09596,11566.3975,20.46666667
2022/9/4,19975.3081,11587.885,20.6
2022/9/3,19834.79562,11609.3725,20.73333333
2022/9/2,19927.5466,11630.86,20.86666667
2022/9/1,20145.5884,11785.13,21
2022/8/31,20046.9471,11816.2,21.03225806
2022/8/30,19768.0653,11883.14,21.06451613
2022/8/29,20280.87118,12017.67,21.09677419
2022/8/28,19606.7351,12059.01667,21.12903226
2022/8/27,20050.5705,12100.36333,21.16129032
2022/8/26,20215.51485,12141.71,21.19354839
2022/8/25,21591.28483,12639.27,21.22580645
2022/8/24,21378.10481,12431.53,21.25806452
2022/8/23,21516.13082,12381.3,21.29032258
2022/8/22,21418.635,12381.57,21.32258065
2022/8/21,21515.70635,12489.45,21.35483871
2022/8/20,21163.4085,12597.33,21.38709677
2022/8/19,20840.72427,12705.21,21.41935484
2022/8/18,23206.1852,12965.34,21.4516129
2022/8/17,23311.75915,12938.12,21.48387097
2022/8/16,23889.74606,13102.55,21.51612903
2022/8/15,24146.6057,13128.05,21.5483871
2022/8/14,24323.00217,13101.09667,21.58064516
2022/8/13,24427.97318,13074.14333,21.61290323
2022/8/12,24395.938,13047.19,21.64516129
2022/8/11,23928.9778,12779.91,21.67741935
2022/8/10,23940.2045,12854.8,21.70967742
2022/8/9,23158.6991,12493.93,21.74193548
2022/8/8,23792.955,12644.46,21.77419355
2022/8/7,23170.70242,12648.82333,21.80645161
2022/8/6,22938.3603,12653.18667,21.83870968
2022/8/5,23225.78975,12657.55,21.87096774
2022/8/4,22635.52,12720.58,21.90322581
2022/8/3,22812.3048,12668.16,21.93548387
2022/8/2,22963.82554,12348.76,21.96774194
2022/8/1,23311.59284,12368.98,22
2022/7/31,23314.4296,12376.21667,22.32258065
2022/7/30,23642.24323,12383.45333,22.64516129
2022/7/29,23746.2734,12390.69,22.96774194
2022/7/28,23847.01344,12162.59,23.29032258
2022/7/27,22943.12042,12032.42,23.61290323
2022/7/26,21206.71524,11562.57,23.93548387
2022/7/25,21340.4673,11782.67,24.25806452
2022/7/24,22600.78471,11799.81667,24.58064516
2022/7/23,22471.3157,11816.96333,24.90322581
2022/7/22,22701.085,11834.11,25.22580645
2022/7/21,23180.0875,12059.61,25.5483871
2022/7/20,23244.5742,11897.65,25.87096774
2022/7/19,23407.3451,11713.15,26.19354839
2022/7/18,22440.03658,11360.05,26.51612903
2022/7/17,20769.40226,11390.84,26.83870968
2022/7/16,21192.11367,11421.63,27.16129032
2022/7/15,20831.31137,11452.42,27.48387097
2022/7/14,20587.5358,11251.19,27.80645161
2022/7/13,20187.1528,11247.58,28.12903226
2022/7/12,19313.26076,11264.73,28.4516129
2022/7/11,19992.29457,11372.6,28.77419355
2022/7/10,20857.65584,11460.17,29.09677419
2022/7/9,21592.74175,11547.74,29.41935484
2022/7/8,21801.08221,11635.31,29.74193548
2022/7/7,21647.16593,11621.35,30.06451613
2022/7/6,20557.53555,11361.85,30.38709677
2022/7/5,20185.96233,11322.24,30.70967742
2022/7/4,20255.6454,11273.6425,31.03225806
2022/7/3,19310.0755,11225.045,31.35483871
2022/7/2,19246.50949,11176.4475,31.67741935
2022/7/1,19336.10444,11127.85,32
2022/6/30,19816.74636,11028.74,32.3
2022/6/29,20101.12,11177.89,32.6
2022/6/28,20293.4508,11181.54,32.9
2022/6/27,20732.9834,11524.55,33.2
2022/6/26,21029.2163,11552.24,33.5
2022/6/25,21499.97104,11579.93,33.8
2022/6/24,21279.53233,11607.62,34.1
2022/6/23,21075.1688,11232.19,34.4
2022/6/22,19976.05359,11053.08,34.7
2022/6/21,20739.94339,11069.3,35
2022/6/20,20672.8011,11001.5625,35.3
2022/6/19,20554.9027,10933.825,35.6
2022/6/18,19007.5031,10866.0875,35.9
2022/6/17,20468.2145,10798.35,36.2
2022/6/16,20383.6889,10646.1,36.5
2022/6/15,22490.59073,11099.16,36.8
2022/6/14,22209.515,10828.35,37.1
2022/6/13,22509.0994,10809.23,37.4
2022/6/12,26704.72936,10986.16,37.7
2022/6/11,28399.9749,11163.09,38
2022/6/10,29082.53195,11340.02,38.3
2022/6/9,30111.70675,11754.23,38.6
2022/6/8,30204.54858,12086.27,38.9
2022/6/7,31193.0692,12175.23,39.2
2022/6/6,31367.4226,12061.37,39.5
2022/6/5,29909.21037,12045.15667,39.8
2022/6/4,29840.07522,12028.94333,40.1
2022/6/3,29717.55805,12012.73,40.4
2022/6/2,30441.46505,12316.9,40.7
2022/6/1,29789.42113,11994.46,41
2022/5/31,31852.83438,12081.39,40.80645161
2022/5/30,31720.0295,12093.825,40.61290323
2022/5/29,29445.7241,12106.26,40.41935484
2022/5/28,29047.06027,12118.695,40.22580645
2022/5/27,28606.47447,12131.13,40.03225806
2022/5/26,29353.61926,11740.65,39.83870968
2022/5/25,29557.53374,11434.74,39.64516129
2022/5/24,29674.1123,11264.45,39.4516129
2022/5/23,29114.08113,11535.28,39.25806452
2022/5/22,30366.04222,11475.06,39.06451613
2022/5/21,29449.98556,11414.84,38.87096774
2022/5/20,29234.03291,11354.62,38.67741935
2022/5/19,30376.33148,11388.5,38.48387097
2022/5/18,28760.1539,11418.15,38.29032258
2022/5/17,30452.62433,11984.52,38.09677419
2022/5/16,29880.54816,11662.79,37.90322581
2022/5/15,31333.76562,11710.19333,37.70967742
2022/5/14,30123.7756,11757.59667,37.51612903
2022/5/13,29250.004,11805,37.32258065
2022/5/12,29130.0386,11370.96,37.12903226
2022/5/11,28984.5358,11364.24,36.93548387
2022/5/10,31024.7033,11737.67,36.74193548
2022/5/9,30363.86562,11623.25,36.5483871
2022/5/8,33933.54281,11797.05333,36.35483871
2022/5/7,35552.564,11970.85667,36.16129032
2022/5/6,36033.0634,12144.66,35.96774194
2022/5/5,36568.7596,12317.69,35.77419355
2022/5/4,39699.03396,12964.86,35.58064516
2022/5/3,37732.29975,12563.76,35.38709677
2022/5/2,38503.90959,12536.02,35.19354839
2022/5/1,38467.094,12468.89333,35
2022/4/30,37660.45292,12401.76667,34.6
2022/4/29,38592.00442,12334.64,34.2
2022/4/28,39749.9386,12871.53,33.8
2022/4/27,39248.43928,12488.93,33.4
2022/4/26,38026.74626,12490.74,33
2022/4/25,40475.27521,13004.85,32.6
2022/4/24,39479.99697,12949.66333,32.2
2022/4/23,39419.5301,12894.47667,31.8
2022/4/22,39757.5541,12839.29,31.4
2022/4/21,40528.7777,13174.65,31
2022/4/20,41363.50366,13453.07,30.6
2022/4/19,41504.4185,13619.66,30.2
2022/4/18,40826.6711,13332.36,29.8
2022/4/17,39678.0001,13337.04,29.4
2022/4/16,40386.5108,13341.72,29
2022/4/15,40558.127,13346.4,28.6
2022/4/14,39909.71687,13351.08,28.2
2022/4/13,41160.0481,13643.59,27.8
2022/4/12,40169.21512,13371.57,27.4
2022/4/11,39456.93304,13411.96,27
2022/4/10,42242.7841,13511.64,26.6
2022/4/9,42788.71116,13611.32,26.2
2022/4/8,42283.4292,13711,25.8
2022/4/7,43480.17472,13897.3,25.4
2022/4/6,43138.51947,13888.82,25
2022/4/5,45573.53741,14204.17,24.6
2022/4/4,46605.60297,14532.55,24.2
2022/4/3,46430.69671,14442.2,23.8
2022/4/2,45845.95756,14351.85,23.4
2022/4/1,46231.00476,14261.5,23
2022/3/31,45540.82639,14220.52,23.22580645
2022/3/30,47100.45937,14442.27,23.4516129
2022/3/29,47498.66565,14619.64,23.67741935
2022/3/28,46888.22115,14354.9,23.90322581
2022/3/27,46842.71955,14293.03333,24.12903226
2022/3/26,44533.21742,14231.16667,24.35483871
2022/3/25,44365.18255,14169.3,24.58064516
2022/3/24,43948.89113,14191.84,24.80645161
2022/3/23,42925.97798,13922.6,25.03225806
2022/3/22,42376.74422,14108.82,25.25806452
2022/3/21,41051.83346,13838.46,25.48387097
2022/3/20,41252.05199,13856.92,25.70967742
2022/3/19,42166.22954,13875.38,25.93548387
2022/3/18,41767.09817,13893.84,26.16129032
2022/3/17,40958.22516,13614.78,26.38709677
