Date,Close,EMA
2022/12/31,16538.3479,17139.776
2022/12/30,16603.75195,17042.31708
2022/12/29,16641.44486,16969.43122
2022/12/28,16549.98327,16893.16796
2022/12/27,16706.45971,16859.221
2022/12/26,16908.94843,16868.26235
2022/12/25,16829.9184,16861.29073
2022/12/24,16833.8821,16856.30734
2022/12/23,16780.46368,16842.51758
2022/12/22,16822.06214,16838.79841
2022/12/21,16806.4165,16832.91079
2022/12/20,16902.54219,16845.57105
2022/12/19,16424.79671,16769.06662
2022/12/18,16750.76581,16765.7392
2022/12/17,16785.8923,16769.4034
2022/12/16,16608.4932,16740.147
2022/12/15,17339.45827,16849.11269
2022/12/14,17799.16897,17021.85019
2022/12/13,17766.35055,17157.21389
2022/12/12,17220.81454,17168.77765
2022/12/11,17091.91654,17154.8029
2022/12/10,17114.34059,17147.44612
2022/12/9,17123.38673,17143.07168
2022/12/8,17254.8416,17163.39348
2022/12/7,16838.04747,17104.23966
2022/12/6,17088.37612,17101.35538
2022/12/5,16959.33606,17075.53369
2022/12/4,17130.16533,17085.46671
2022/12/3,16903.72363,17052.42252
2022/12/2,17088.4265,17058.96869
2022/12/1,16956.1893,17040.28153
2022/11/30,17188.63468,17067.25483
2022/11/29,16436.1924,16952.51621
2022/11/28,16212.40325,16817.95021
2022/11/27,16432.36462,16747.84374
2022/11/26,16461.19452,16695.7257
2022/11/25,16511.91128,16662.3049
2022/11/24,16597.7313,16650.56424
2022/11/23,16615.2292,16644.13969
2022/11/22,16174.9574,16558.83382
2022/11/21,15779.9717,16417.22253
2022/11/20,16291.4477,16394.35438
2022/11/19,16715.83859,16452.80605
2022/11/18,16711.14178,16499.77618
2022/11/17,16690.88953,16534.52406
2022/11/16,16673.50771,16559.79382
2022/11/15,16894.9265,16620.72703
2022/11/14,16630.63746,16622.52893
2022/11/13,16349.9976,16572.97778
2022/11/12,16802.1943,16614.65351
2022/11/11,17104.1984,16703.66167
2022/11/10,17590.41467,16864.88949
2022/11/9,15789.34242,16669.33548
2022/11/8,18528.52093,17007.3692
2022/11/7,20591.7459,17659.07405
2022/11/6,20913.0539,18250.70675
2022/11/5,21281.5851,18801.77554
2022/11/4,21156.078,19229.83053
2022/11/3,20208.59651,19407.78798
2022/11/2,20151.52308,19543.01255
2022/11/1,20481.5549,19713.65661
2022/10/31,20504.46023,19857.43909
2022/10/30,20621.7479,19996.40433
2022/10/29,20811.98837,20144.69233
2022/10/28,20608.2579,20228.97698
2022/10/27,20283.97975,20238.97748
2022/10/26,20754.02397,20332.6223
2022/10/25,20110.87556,20292.30471
2022/10/24,19335.3937,20118.32089
2022/10/23,19548.7249,20014.75798
2022/10/22,19202.85297,19867.13889
2022/10/21,19166.3286,19739.71884
2022/10/20,19042.9309,19613.03012
2022/10/19,19124.9892,19524.29541
2022/10/18,19351.0697,19492.79982
2022/10/17,19558.1117,19504.67471
2022/10/16,19259.62065,19460.11943
2022/10/15,19054.8847,19386.44039
2022/10/14,19191.0274,19350.91075
2022/10/13,19380.6893,19356.32503
2022/10/12,19157.97735,19320.26182
2022/10/11,19045.5416,19270.31269
2022/10/10,19135.37402,19245.77838
2022/10/9,19436.3351,19280.42506
2022/10/8,19401.0105,19302.34969
2022/10/7,19533.02825,19344.29124
2022/10/6,19948.2219,19454.09682
2022/10/5,20168.6041,19584.00723
2022/10/4,20339.726,19721.41064
2022/10/3,19610.3879,19701.22469
2022/10/2,19035.34988,19580.15654
2022/10/1,19305.1719,19530.15934
2022/9/30,19449.60774,19515.51359
2022/9/29,19593.33746,19529.66339
2022/9/28,19399.48878,19505.99528
2022/9/27,19098.47982,19431.90156
2022/9/26,19238.7536,19396.78375
2022/9/25,18814.0516,19290.83245
2022/9/24,18931.73411,19225.54184
2022/9/23,19245.96942,19229.25595
2022/9/22,19429.13269,19265.59717
2022/9/21,18501.82049,19126.72869
2022/9/20,18873.2005,19080.63265
2022/9/19,19576.6372,19170.8153
2022/9/18,19393.59391,19211.3205
2022/9/17,20123.64055,19377.19687
2022/9/16,19756.26819,19446.11893
2022/9/15,19662.3883,19485.44063
2022/9/14,20251.71983,19624.76412
2022/9/13,20172.39246,19724.33291
2022/9/12,22387.93863,20208.62486
2022/9/11,21789.45241,20496.04805
2022/9/10,21661.704,20707.9855
2022/9/9,21370.64087,20828.46829
2022/9/8,19318.4204,20553.91413
2022/9/7,19275.30356,20321.43948
2022/9/6,18812.06104,20047.00704
2022/9/5,19808.09596,20003.56866
2022/9/4,19975.3081,19998.43037
2022/9/3,19834.79562,19968.6786
2022/9/2,19927.5466,19961.20006
2022/9/1,20145.5884,19994.72521
2022/8/31,20046.9471,20004.2201
2022/8/30,19768.0653,19961.28286
2022/8/29,20280.87118,20019.38983
2022/8/28,19606.7351,19944.3617
2022/8/27,20050.5705,19963.67239
2022/8/26,20215.51485,20009.46193
2022/8/25,21591.28483,20297.06609
2022/8/24,21378.10481,20493.61859
2022/8/23,21516.13082,20679.5299
2022/8/22,21418.635,20813.91265
2022/8/21,21515.70635,20941.5115
2022/8/20,21163.4085,20981.85641
2022/8/19,20840.72427,20956.19602
2022/8/18,23206.1852,21365.28496
2022/8/17,23311.75915,21719.18936
2022/8/16,23889.74606,22113.83603
2022/8/15,24146.6057,22483.43052
2022/8/14,24323.00217,22817.89809
2022/8/13,24427.97318,23110.63902
2022/8/12,24395.938,23344.32974
2022/8/11,23928.9778,23450.62939
2022/8/10,23940.2045,23539.64304
2022/8/9,23158.6991,23470.38051
2022/8/8,23792.955,23529.03042
2022/8/7,23170.70242,23463.87987
2022/8/6,22938.3603,23368.33086
2022/8/5,23225.78975,23342.41429
2022/8/4,22635.52,23213.88806
2022/8/3,22812.3048,23140.87292
2022/8/2,22963.82554,23108.68249
2022/8/1,23311.59284,23145.57528
2022/7/31,23314.4296,23176.27606
2022/7/30,23642.24323,23260.99737
2022/7/29,23746.2734,23349.22937
2022/7/28,23847.01344,23439.73557
2022/7/27,22943.12042,23349.44191
2022/7/26,21206.71524,22959.85524
2022/7/25,21340.4673,22665.42107
2022/7/24,22600.78471,22653.669
2022/7/23,22471.3157,22620.51386
2022/7/22,22701.085,22635.16316
2022/7/21,23180.0875,22734.24031
2022/7/20,23244.5742,22827.02829
2022/7/19,23407.3451,22932.54044
2022/7/18,22440.03658,22842.99428
2022/7/17,20769.40226,22465.97755
2022/7/16,21192.11367,22234.36594
2022/7/15,20831.31137,21979.26511
2022/7/14,20587.5358,21726.22341
2022/7/13,20187.1528,21446.39239
2022/7/12,19313.26076,21058.55028
2022/7/11,19992.29457,20864.6856
2022/7/10,20857.65584,20863.40747
2022/7/9,21592.74175,20996.0137
2022/7/8,21801.08221,21142.38979
2022/7/7,21647.16593,21234.16727
2022/7/6,20557.53555,21111.14332
2022/7/5,20185.96233,20942.92859
2022/7/4,20255.6454,20817.96801
2022/7/3,19310.0755,20543.80574
2022/7/2,19246.50949,20307.93369
2022/7/1,19336.10444,20131.23747
2022/6/30,19816.74636,20074.05726
2022/6/29,20101.12,20078.97776
2022/6/28,20293.4508,20117.97286
2022/6/27,20732.9834,20229.79296
2022/6/26,21029.2163,20375.14266
2022/6/25,21499.97104,20579.65691
2022/6/24,21279.53233,20706.90698
2022/6/23,21075.1688,20773.86368
2022/6/22,19976.05359,20628.8073
2022/6/21,20739.94339,20649.01386
2022/6/20,20672.8011,20653.33881
2022/6/19,20554.9027,20635.44134
2022/6/18,19007.5031,20339.45257
2022/6/17,20468.2145,20362.86383
2022/6/16,20383.6889,20366.6502
2022/6/15,22490.59073,20752.82121
2022/6/14,22209.515,21017.67463
2022/6/13,22509.0994,21288.84277
2022/6/12,26704.72936,22273.54942
2022/6/11,28399.9749,23387.44496
2022/6/10,29082.53195,24422.91532
2022/6/9,30111.70675,25457.24104
2022/6/8,30204.54858,26320.38786
2022/6/7,31193.0692,27206.32992
2022/6/6,31367.4226,27962.89223
2022/6/5,29909.21037,28316.76826
2022/6/4,29840.07522,28593.73316
2022/6/3,29717.55805,28798.06496
2022/6/2,30441.46505,29096.86497
2022/6/1,29789.42113,29222.78427
2022/5/31,31852.83438,29700.9752
2022/5/30,31720.0295,30068.07598
2022/5/29,29445.7241,29954.9211
2022/5/28,29047.06027,29789.85549
2022/5/27,28606.47447,29574.69531
2022/5/26,29353.61926,29534.49966
2022/5/25,29557.53374,29538.68768
2022/5/24,29674.1123,29563.31033
2022/5/23,29114.08113,29481.6323
2022/5/22,30366.04222,29642.4341
2022/5/21,29449.98556,29607.44346
2022/5/20,29234.03291,29539.55063
2022/5/19,30376.33148,29691.6926
2022/5/18,28760.1539,29522.32193
2022/5/17,30452.62433,29691.46782
