Date,Close,EMA,Google_trends
2022/12/31,16538.3479,17139.776,19.93548387
2022/12/30,16603.75195,17042.31708,19.87096774
2022/12/29,16641.44486,16969.43122,19.80645161
2022/12/28,16549.98327,16893.16796,19.74193548
2022/12/27,16706.45971,16859.221,19.67741935
2022/12/26,16908.94843,16868.26235,19.61290323
2022/12/25,16829.9184,16861.29073,19.5483871
2022/12/24,16833.8821,16856.30734,19.48387097
2022/12/23,16780.46368,16842.51758,19.41935484
2022/12/22,16822.06214,16838.79841,19.35483871
2022/12/21,16806.4165,16832.91079,19.29032258
2022/12/20,16902.54219,16845.57105,19.22580645
2022/12/19,16424.79671,16769.06662,19.16129032
2022/12/18,16750.76581,16765.7392,19.09677419
2022/12/17,16785.8923,16769.4034,19.03225806
2022/12/16,16608.4932,16740.147,18.96774194
2022/12/15,17339.45827,16849.11269,18.90322581
2022/12/14,17799.16897,17021.85019,18.83870968
2022/12/13,17766.35055,17157.21389,18.77419355
2022/12/12,17220.81454,17168.77765,18.70967742
2022/12/11,17091.91654,17154.8029,18.64516129
2022/12/10,17114.34059,17147.44612,18.58064516
2022/12/9,17123.38673,17143.07168,18.51612903
2022/12/8,17254.8416,17163.39348,18.4516129
2022/12/7,16838.04747,17104.23966,18.38709677
2022/12/6,17088.37612,17101.35538,18.32258065
2022/12/5,16959.33606,17075.53369,18.25806452
2022/12/4,17130.16533,17085.46671,18.19354839
2022/12/3,16903.72363,17052.42252,18.12903226
2022/12/2,17088.4265,17058.96869,18.06451613
2022/12/1,16956.1893,17040.28153,18
2022/11/30,17188.63468,17067.25483,18.26666667
2022/11/29,16436.1924,16952.51621,18.53333333
2022/11/28,16212.40325,16817.95021,18.8
2022/11/27,16432.36462,16747.84374,19.06666667
2022/11/26,16461.19452,16695.7257,19.33333333
2022/11/25,16511.91128,16662.3049,19.6
2022/11/24,16597.7313,16650.56424,19.86666667
2022/11/23,16615.2292,16644.13969,20.13333333
2022/11/22,16174.9574,16558.83382,20.4
2022/11/21,15779.9717,16417.22253,20.66666667
2022/11/20,16291.4477,16394.35438,20.93333333
2022/11/19,16715.83859,16452.80605,21.2
2022/11/18,16711.14178,16499.77618,21.46666667
2022/11/17,16690.88953,16534.52406,21.73333333
2022/11/16,16673.50771,16559.79382,22
2022/11/15,16894.9265,16620.72703,22.26666667
2022/11/14,16630.63746,16622.52893,22.53333333
2022/11/13,16349.9976,16572.97778,22.8
2022/11/12,16802.1943,16614.65351,23.06666667
2022/11/11,17104.1984,16703.66167,23.33333333
2022/11/10,17590.41467,16864.88949,23.6
2022/11/9,15789.34242,16669.33548,23.86666667
2022/11/8,18528.52093,17007.3692,24.13333333
2022/11/7,20591.7459,17659.07405,24.4
2022/11/6,20913.0539,18250.70675,24.66666667
2022/11/5,21281.5851,18801.77554,24.93333333
2022/11/4,21156.078,19229.83053,25.2
2022/11/3,20208.59651,19407.78798,25.46666667
2022/11/2,20151.52308,19543.01255,25.73333333
2022/11/1,20481.5549,19713.65661,26
2022/10/31,20504.46023,19857.43909,25.70967742
2022/10/30,20621.7479,19996.40433,25.41935484
2022/10/29,20811.98837,20144.69233,25.12903226
2022/10/28,20608.2579,20228.97698,24.83870968
2022/10/27,20283.97975,20238.97748,24.5483871
2022/10/26,20754.02397,20332.6223,24.25806452
2022/10/25,20110.87556,20292.30471,23.96774194
2022/10/24,19335.3937,20118.32089,23.67741935
2022/10/23,19548.7249,20014.75798,23.38709677
2022/10/22,19202.85297,19867.13889,23.09677419
2022/10/21,19166.3286,19739.71884,22.80645161
2022/10/20,19042.9309,19613.03012,22.51612903
2022/10/19,19124.9892,19524.29541,22.22580645
2022/10/18,19351.0697,19492.79982,21.93548387
2022/10/17,19558.1117,19504.67471,21.64516129
2022/10/16,19259.62065,19460.11943,21.35483871
2022/10/15,19054.8847,19386.44039,21.06451613
2022/10/14,19191.0274,19350.91075,20.77419355
2022/10/13,19380.6893,19356.32503,20.48387097
2022/10/12,19157.97735,19320.26182,20.19354839
2022/10/11,19045.5416,19270.31269,19.90322581
2022/10/10,19135.37402,19245.77838,19.61290323
